codigo,nome_correto_ficha,nome_no_catalogo_2026
0300,Totokinha Clássica Rosa Caixa Individual,TOTOKINHA CLÁSSICA ROSA CAIXA INDIVIDUAL Um brinquedo que auxilia o desenvolvimento da criança de forma lúdica e divertida.
0301,Totokinha Clássica Azul Caixa Individual,TOTOKINHA CLÁSSICA AZUL CAIXA INDIVIDUAL * A cor da embalagem individual
1017,Tandy Tractor,TANDY TRACTOR Um super caminhão basculante e carregadeira com caçamba e braços articulados!
1046,Jeep Rally,JEEP RALLY (NA EMBALAGEM)
1049,Tandy Bombeiro,"TANDY BOMBEIRO Um caminhão de bombeiro equipado com cones, escadas retráteis, maca de salvamento e extintores!"
1059,Open Tracks Trator Retroescavadeira,"OPEN TRACKS TRATOR RETROESCAVADEIRA 235A x 650C x 195L *+,&-"
1060,Open Tracks Trator Escavadeira,"OPEN TRACKS TRATOR ESCAVADEIRA 233A x 560C x 195L +,'#-"""
1063,Caminho Air Truck Escavadeira,CAMINHÃO AIR TRUCK ESCAVADEIRA
2015,Geladeira Sonho de Menina Caixa Individual,GELADEIRA SONHO DE MENINA CAIXA INDIVIDUAL * A cor da embalagem
2016,Cozinha Sonho de Menina Caixa Individual,"COZINHA SONHO DE MENINA CAIXA INDIVIDUAL Torneira lúdica, não sai água de verdade."
2017,Geladeira Gela Sorvetinho Caixa Individual,GELADEIRA GELA SORVETINHO CAIXA INDIVIDUAL 1º Puxe a 486A x 255C x 202L casquinha 2º Aperte o botão 3º Tire o Sorvetinho
2019,Acqua Bubble Caixa Individual,ACQUA BUBBLE CAIXA INDIVIDUAL * A cor da
2024,Doce Cozinha Gourmet Microondas,DOCE COZINHA GOURMET
3028,Dino Escolar,DINO ESCOLAR BRINQUEDO COM BRAILLE
3038,Miniaturas Galinha Pintadinha,MINIATURAS GALINHA PINTADINHA 5cm al tura
3053,Mesinha de Atividades Rosa Caixa Individual,MESINHA DE ATIVIDADES ROSA CAIXA INDIVIDUAL +18 meses BRINQUEDO
3054,Mesinha de Atividades Azul Caixa Indivudual,MESINHA DE ATIVIDADES AZUL CAIXA INDIVIDUAL
3055,Bauduxo Didatico Rosa sem Embalagem,BAUDUXO DIDÁTICO ROSA SEM EMBALAGEM 4 unidades +18 meses BRINQUEDO COM BRAILLE
3056,Bauduxo Didatico Azul sem Embalagem,BAUDUXO DIDÁTICO AZUL SEM EMBALAGEM BRINQUEDO COM BRAILLE
3064,Boneco de Pelúcia Pocoyo,BONECO DE PELÚCIA POCOYO (licenciado) Fofinho e macio Sem embalagem
3082,Fofilhotes Trenzinho,FOFILHOTES TRENZINHO 6 unidades (4 unissex e 2 rosas) +18 meses
3083,Fofilhotes Trenzinho com Carretinha,FOFILHOTES TRENZINHO COM CARRETINHA BRINQUEDO COM BRAILLE
3084,Fofilhotes Ônibus,FOFILHOTES ÔNIBUS 6 unidades (4 unissex e 2 rosas) +18 meses
3085,Fofilhotes Ônibus com Carretinha,COM CARRETINHA
3089,Fofilhotes Tratorzinho com Carretinha,FOFILHOTES TRATORZINHO COM CARRETINHA BRINQUEDO COM BRAILLE
3090,Fofilhotes Cavalinho,FOFILHOTES CAVALINHO alt ura
3102,Boneca Luna - O Show da Luna,BONECA LUNA ABELHA O SHOW DA LUNA
3113,Little Figs Bluey,LITTLE FIGS BLUEY* LANÇAMENTO!
3118,Boneco de Banho com Esguicho Disney Mickey,BONECO DE BANHO COM ESGUICHO DISNEY
3120,Boneco de Banho com Esguicho Disney Buzz Lightyear,BONECO DE BANHO COM ESGUICHO DISNEY
3122,Little Figs Galinha Pintadinha O Filme,LITTLE FIGS GALINHA PINTADINHA O FILME* LANÇAMENTO!
3123,Totokinha Bluey,LANÇAMENTO! TOTOKINHA BLUEY*
3124,Totokinha Disney Princesas,LANÇAMENTO! TOTOKINHA PRINCESAS
4028,Tópi Combo Costruction,TÓPI COMBO CONSTRUCTION
4032,Tópi Bolpotamo com Numeros,TÓPI BOLOPÓTAMO COM NÚMEROS
6005,Totokinha Bolinha Rosa Caixa Individual,TOTOKINHA BOLINHA ROSA CAIXA INDIVIDUAL A língua e os bracinhos se * 1 unidade +18 meses A cor mexem! da 316A x 498C x 283L embalagem individual
6009,Totoka Plus Baby Tractor Caixa Individual,TOTOKA BABY TRACTOR CAIXA INDIVIDUAL ** ** Todas as referências desta página são sem eletrônico.
6010,Totokinha Sport Rosa Caixa Individual,TOTOKINHA SPORT ROSA CAIXA INDIVIDUAL * cor da embalagem
6011,Totokinha Sport Azul Caixa Individual,TOTOKINHA SPORT AZUL
6012,Totokinha Pocoyo com Boneco Caixa Individual,COM BONECO CAIXA INDIVIDUAL (licenciado) * A cor 1 unidade +18 meses da embalagem 316A x 510C x 283L
6013,Totokinha Elly com Boneco Caixa Individual,TOTOKINHA ELLY
6018,Totokinha Marvel Spidey Caixa Individual,TOTOKINHA MARVEL
6020,Totokinha Bluey Caixa Individual,CAIXA INDIVIDUAL
6021,Totokinha Disney Princesas Caixa Individual,TOTOKINHA PRINCESAS CAIXA INDIVIDUAL
7109,Sapo Musical,SAPO MUSICAL Veja como a brincadeira acontece!
7115,Carro de Policia Musical,CARRO DE POLÍCIA MUSICAL
7117,Pick- Up Super Fast,PICK-UP SUPER FAST Toque para andar!
7126,Pet Club Hora do Banho,PET CLUB HORA DO BANHO em
7129,Dinocar com Carrinhos,DINOCAR COM CARRINHOS Com 2 dinossauros vinil em miniatura
7144,City Rescue Policia,CITY RESCUE POLÍCIA
7149,Soft Car Musical,SOFTCAR MUSICAL
7157,Bi-Bi Blum Didático,BI-BI-BLUM DIDÁTICO Carrinhos
7158,Dino Ritmo Divertido,DINO RITMO DIVERTIDO Movimentos divertidos!
7171,Display Robô-Blocks Serviço,Display Robô-Blocks serviço 3 unidade de cada.
7172 - A,Robô-Blocks Serviço Varredor - 46 Peças,ROBÔ-BLOCKS SERVIÇO VARREDOR - 46 PEÇAS 6 displays (18 unidades) +3 anos
7173 - B,Robô-Blocks Serviço Delivery - 45 Peças,ROBÔ-BLOCKS SERVIÇO DELIVERY - 45 PEÇAS 6 displays (18 unidades) +3 anos
7174 - C,Robô-Blocks Serviço Caminhão Pipa - 45 Peças,ROBÔ-BLOCKS SERVIÇO CAMINHÃO PIPA - 45 PEÇAS 6 displays (18 unidades) +3 anos
7175 - D,Robô-Blocks Serviço Ambulãncia- 47 Peças,ROBÔ-BLOCKS SERVIÇO AMBULÂNCIA - 47 PEÇAS 6 displays (18 unidades) +3 anos
7176,Display Robô-Blocks Corrida,Display Robô-Blocks corrida 3 unidade de cada.
7177 - A,Robô-Blocks Corrida F-Car-53 Peças,ROBÔ-BLOCKS CORRIDA F-CAR - 53 PEÇAS 6 displays (18 unidades) +3 anos
7178 - B,Robô-Blocks Corrida F-Road - 59 Peças,ROBÔ-BLOCKS CORRIDA F-ROAD - 59 PEÇAS 6 displays (18 unidades) +3 anos
7179 - C,Robô-Blocks Corrida F- Quadri - 42 Peças,ROBÔ-BLOCKS CORRIDA F-QUADRI - 42 PEÇAS 6 displays (18 unidades) +3 anos
7180 - D,Robô-Blocks Corrida F- Run - 65 Peças,ROBÔ-BLOCKS CORRIDA F-RUN - 65 PEÇAS 6 displays (18 unidades) +3 anos
7184,Studio Fashion Celebridades Corte&Escova,CORTE & ESCOVA
7186,Studio Fashion Celebridades Escova&Penteado,CELEBRIDADES ESCOVA & PENTEADO *Não funciona como
