codigo,campo,ficha_tecnica,site
0071,nome,Tandy Caçamba (Na Rede),Tandy Caçamba – Sem Embalagem
0072,nome,Tandy Tractor (Na Rede),Tandy Tractor – Sem Embalagem
0078,nome,Tandy Bombeiro (Na Rede),Tandy Bombeiro Sem Embalagem
1036,nome,Jeep Rally (No Filme),Jeep Rally – Sem Embalagem
1063,nome,Caminho Air Truck Escavadeira,Caminhão air truck escavadeira
3080,nome,Boneco de Vinil Temático Pocoyo Príncipe,Boneco de vinil Pocoyo Príncipe
3081,nome,Boneco de Vinil Temático Pocoyo Super Herói,Boneco de vinil Pocoyo Super Herói
3082,nome,Fofilhotes Trenzinho,Fofilhotes Trezinho
3083,ean,789648413083-7,789648413084-4
3100,nome,Little Figs Disney Stitch,Miniaturas Disney Stitch em vinil
3101,nome,Little Figs O Show da Luna,Miniaturas O Show da Luna em vinil
3103,nome,Little Figs Marvel Spidey,Miniaturas Marvel Spidey em vinil
3104,nome,Little Figs Galinha Pintadinha Temática,Miniaturas Galinha Pintadinha temática
3105,nome,Little Figs Os Smurfs,Miniaturas Os Smurfs em vinil
3106,nome,Boneco de Vinil Os Smurfs - Smurf,Boneco de vinil Smurf Os Smurfs
3107,nome,Boneco de Vinil Os Smurfs - Papai Smurf,Boneco de vinil Papai Smurf
3108,nome,Boneco de Vinil Os Smurfs - Smurfette,Boneco de vinil Smurfette
3113,nome,Little Figs Bluey,Miniaturas Bluey em vinil
3117,nome,Little Figs Disney Toy Story,Miniaturas Disney Toy Story em vinil
3118,nome,Boneco de Banho com Esguicho Disney Mickey,Boneco de banho Disney Mickey com esguicho
3119,nome,Boneco de Banho com Esguicho Disney Minnie,Boneco de banho Disney Minnie com esguicho
3120,nome,Boneco de Banho com Esguicho Disney Buzz Lightyear,Boneco de banho Disney Buzz Lightyear com esguicho
3124,nome,Totokinha Disney Princesas,Totokinha Princesas
4012,ean,789648414012-6,789648417207-3
4032,nome,Tópi Bolpotamo com Numeros,Tópi Bolpótamo com Números
7144,nome,City Rescue Policia,City Rescue Polícia
7175 - D,nome,Robô-Blocks Serviço Ambulãncia- 47 Peças,Robô-Blocks Serviço Ambulância – 47 Peças
7198,nome,Bateria Touch Musical Rosa,Bateria touch musical infantil rosa
8017,nome,Totokross Moto de Equilibrio Rosa,Totokross moto de equilíbrio rosa
8018,nome,Totokross Moto de Equilibrio Vermelha,Totokross moto de equilíbrio vermelha
