codigo,nome,marca,linha,descricao_atual,descricao_proposta,diferenciais_propostos,beneficios_site,indicado_para,dados_tecnicos,qualidade_descricao,fonte_descricao,fonte_diferenciais,confianca_descricao,confianca_diferenciais,status_revisao,observacao
0071,Tandy Caçamba (Na Rede),tópi,RODA LIVRE,,"O Tandy Caçamba é um caminhão robusto e resistente, ideal para crianças que adoram brincar com veículos de construção.",,Estimula coordenação motora | Incentiva criatividade e imaginação | Ideal para brincadeiras ao ar livre | Estrutura resistente,Crianças a partir de 3 anos que gostam de caminhões e brincadeiras de construção.,"material=Plástico | cor=Vermelho | genero=Menino | idade=+ 3 Anos | conteudo_caixa=1 Caminhão
1 Pá
1 Rastelo | ncm=9503.00.80 | cst=000 | dun=17896484100714 | produto_mm=375x237x282 | caixa=4un/4.068kg | peso=0.85kg",ESPECIFICA,https://cardosotoys.com.br/topi/produtos/tandy-cacamba-sem-embalagem/,(sem fonte),CONFIRMADO,NAO_ENCONTRADO,PENDENTE,
0072,Tandy Tractor (Na Rede),tópi,RODA LIVRE,,"O Tandy Tractor é um veículo robusto e resistente, ideal para crianças que adoram caminhões grandes e brincadeiras cheias de aventura.",,Estimula coordenação motora | Incentiva criatividade e imaginação | Estrutura resistente | Ideal para brincadeiras ao ar livre,Crianças a partir de 3 anos que gostam de veículos grandes e brincadeiras com caminhões.,material=Plástico | cor=Vermelho | genero=Menino | idade=+ 3 Anos | conteudo_caixa=1 Caminhão | ncm=9503.00.80 | cst=000 | dun=27896484100728 | produto_mm=470x240x278 | caixa=4un/4.68kg | peso=0.955kg,ESPECIFICA,https://cardosotoys.com.br/topi/produtos/tandy-tractor-sem-embalagem/,(sem fonte),CONFIRMADO,NAO_ENCONTRADO,PENDENTE,
0078,Tandy Bombeiro (Na Rede),tópi,RODA LIVRE,,O Tandy Bombeiro é um caminhão de resgate robusto e cheio de detalhes para tornar a brincadeira ainda mais realista.,,Estimula criatividade e imaginação | Incentiva brincadeiras temáticas de resgate | Desenvolve coordenação motora | Acompanha acessórios para tornar a brincadeira mais completa,Crianças a partir de 3 anos que gostam de caminhões de bombeiro e brincadeiras de ação e resgate.,"material=Plástico | cor=Vermelho | genero=Menino | idade=+ 3 Anos | conteudo_caixa=1 Caminhão
1 Maca
2 extintores
2 cones | ncm=9503.00.80 | cst=000 | dun=27896484100780 | produto_mm=400x240x275 | caixa=4un/4.368kg | peso=0.89kg",ESPECIFICA,https://cardosotoys.com.br/topi/produtos/tandy-bombeiro-sem-embalagem/,(sem fonte),CONFIRMADO,NAO_ENCONTRADO,PENDENTE,
0124,Leva Papinha,tópi,FAZ DE CONTA,,O Leva-Papinha é um kit completo de cozinha infantil ideal para estimular o faz de conta e a criatividade das crianças.,,Estimula imaginação e criatividade | Desenvolve coordenação motora fina | Incentiva brincadeiras de faz de conta | Trabalha organização e interação social,"Crianças + 3 anos que gostam de brincar de cozinhar, servir e criar histórias no universo do faz de conta.","material=Plástico | cor=Rosa | genero=Menina | idade=+ 3 Anos | conteudo_caixa=1 Cesta
1 Jarra 
4 Pratos
4 Copos
4 Facas
4 Colheres
4 Garfos
1 Panela
1  Caçarola
1 Frigideira
1  Concha
1 Escumadeira
1 Espatula | ncm=9503.00.80 | cst=000 | dun=2789648410124-4 | produto_mm=252x160x100 | caixa=6un/1.975kg | peso=0.285kg",ESPECIFICA,https://cardosotoys.com.br/topi/produtos/leva-papinha/,(sem fonte),CONFIRMADO,NAO_ENCONTRADO,PENDENTE,
0125,Carrinho de Boneca Passeio do Bebê,tópi,FAZ DE CONTA,,O Carrinho de Boneca Passeio do Bebê é perfeito para tornar as brincadeiras ainda mais especiais.,,Estimula imaginação e faz de conta | Incentiva cuidado e responsabilidade | Desenvolve coordenação motora | Leve e fácil de manusear,Crianças a partir de 3 anos que gostam de brincar com bonecas e simular passeios e cuidados com o bebê.,material=Plástico | cor=Rosa | genero=Menina | idade=+ 3 Anos | conteudo_caixa=1 Carrinho de Boneca | ncm=9503.00.10 | cst=000 | dun=1789648410125-4 | produto_mm=255x113x690 | caixa=4un/2.724kg | peso=0.53kg,ESPECIFICA,https://cardosotoys.com.br/topi/produtos/carrinho-de-boneca-passeio-do-bebe/,(sem fonte),CONFIRMADO,NAO_ENCONTRADO,PENDENTE,
0133,Mini Mercado,tópi,FAZ DE CONTA,,O Mini-Mercado é perfeito para transformar a brincadeira em uma experiência divertida de compras e organização.,,Estimula imaginação e criatividade | Incentiva brincadeiras de faz de conta | Desenvolve coordenação motora fina | Trabalha organização e socialização,"Crianças + 3 anos que gostam de brincar de mercado, organizar produtos e criar histórias do cotidiano de forma lúdica.","material=Plástico | cor=Amarelo | genero=Menina | idade=+ 3 Anos | conteudo_caixa=1 Cesta
2 Pratos
2 Copos
2 Facas
2 Colheres
2 Garfos
15 Caixinhas | ncm=9503.00.80 | cst=000 | dun=2789648410133-6 | produto_mm=252x160x100 | caixa=6un/1.6kg | peso=0.215kg",ESPECIFICA,https://cardosotoys.com.br/topi/produtos/mini-mercado/,(sem fonte),CONFIRMADO,NAO_ENCONTRADO,PENDENTE,
0205,Baldão de Praia,tópi,AR LIVRE,,O Baldão de Praia é perfeito para momentos de diversão ao ar livre.,,Estimula criatividade e imaginação | Incentiva brincadeiras ao ar livre | Desenvolve coordenação motora | Ideal para praia e parque,Crianças a partir de 3 anos que gostam de brincar na areia e explorar atividades ao ar livre.,"material=Plástico | cor=Azul/Rosa/Vermelho | genero=Unissex | idade=+ 3 Anos | conteudo_caixa=1 Baldão
3 Formas temáticas
1 pá
1  rastelo | ncm=9503.00.80 | cst=000 | dun=37896484102057 | produto_mm=200xXx205 | caixa=8un/2.32kg | peso=0.225kg",ESPECIFICA,https://cardosotoys.com.br/topi/produtos/baldao-de-praia/,(sem fonte),CONFIRMADO,NAO_ENCONTRADO,PENDENTE,
0209,Baldico de Praia,tópi,AR LIVRE,,O Baldico de Praia é ideal para os pequenos explorarem a diversão na areia com segurança e praticidade.,,Estimula criatividade e imaginação | Incentiva atividades ao ar livre | Desenvolve coordenação motora | Leve e fácil de transportar,Crianças a partir de 18 meses que estão iniciando suas experiências com brincadeiras na areia.,"material=Plástico | cor=Azul/Rosa/Vermelho | genero=Unissex | idade=+ 18 meses | conteudo_caixa=1 Baldico
3 Formas temáticas
1 pá
1  rastelo | ncm=9503.00.80 | cst=000 | dun=47896484102092 | produto_mm=165xXx155 | caixa=12un/2.25kg | peso=0.145kg",ESPECIFICA,https://cardosotoys.com.br/topi/produtos/baldico-de-praia/,(sem fonte),CONFIRMADO,NAO_ENCONTRADO,PENDENTE,
0263,Tambor Pocoyo,playmi,PLAY&COLLECT,,"de um dos personagens mais queridos pelas crianças. Ideal para estimular o interesse pela música desde cedo, permite que a criança explore sons, crie batidas e desenvolva senso rítmico de forma lúdica.",Acompanha 2 baquetas,Estimula percepção musical e senso rítmico | Desenvolve coordenação motora fina | Incentiva expressão artística | Promove estímulo sensorial auditivo | Brinquedo temático com personagem infantil,"Crianças + 3 anos que gostam de música, personagens e atividades que envolvem ritmo e criatividade.","material=Plástico | cor=Azul | genero=Unissex | idade=+ 3 Anos | conteudo_caixa=1 Tambor 
2 baquetas | ncm=9503.00.99 | cst=000 | dun=2789648410263-0 | produto_mm=D 202xD 202x175 | caixa=6un/2.4kg | peso=0.185kg",GENERICA,https://cardosotoys.com.br/playmi/produtos/tambor-pocoyo/,https://cardosotoys.com.br/playmi/produtos/tambor-pocoyo/,CONFIRMADO,CONFIRMADO,PENDENTE,
0266,Tamborete Pocoyo,playmi,PLAY&COLLECT,,"O Tamborete Pocoyo é um instrumento musical infantil compacto, ideal para introduzir as crianças ao universo dos ritmos e sons de forma divertida.",Acompanha 2 baquetas,Estimula percepção musical e senso rítmico | Desenvolve coordenação motora fina | Incentiva criatividade e expressão artística | Promove estímulo auditivo | Brinquedo temático com personagem infantil,"Crianças + 3 anos que gostam de música, personagens e atividades que envolvem ritmo e criatividade.","material=Plástico | cor=Azul | genero=Unissex | idade=+ 3 Anos | conteudo_caixa=1 Tamborete
2 baquetas | ncm=9503.00.99 | cst=000 | dun=2789648410266-1 | produto_mm=D 202xD 202x80 | caixa=6un/1.63kg | peso=0.15kg",ESPECIFICA,https://cardosotoys.com.br/playmi/produtos/tamborete-pocoyo/,https://cardosotoys.com.br/playmi/produtos/tamborete-pocoyo/,CONFIRMADO,CONFIRMADO,PENDENTE,
