codigo,nome,marca,linha,faixa_etaria,dimensoes,pagina_catalogo,revisar
3082,FOFILHOTES TRENZINHO 6 unidades (4 unissex e 2 rosas) +18 meses,playmi,Play&Learn,,172A x 211C x 168L,9,SIM
3088,FOFILHOTES TRATORZINHO,playmi,Play&Learn,+18 meses,172A x 218C x 168L,9,
3086,FOFILHOTES JIPINHO,playmi,Play&Learn,+18 meses,172A x 208C x 168L,10,
3084,FOFILHOTES ÔNIBUS 6 unidades (4 unissex e 2 rosas) +18 meses,playmi,Play&Learn,,212A x 252C x 157L,10,SIM
3083,FOFILHOTES TRENZINHO COM CARRETINHA BRINQUEDO COM BRAILLE,playmi,Play&Learn,+18 meses,172A x 408C x 168L,11,
3089,FOFILHOTES TRATORZINHO COM CARRETINHA BRINQUEDO COM BRAILLE,playmi,Play&Learn,+18 meses,172A x 415C x 168L,11,
3087,FOFILHOTES JIPINHO COM CARRETINHA,playmi,Play&Learn,+18 meses,,12,SIM
3085,COM CARRETINHA,playmi,Play&Learn,+18 meses,212A x 447C x 164L,12,
3090,FOFILHOTES CAVALINHO alt ura,playmi,Play&Learn,+18 meses,115A x 83C x 75L,13,
3091,FOFILHOTES GIRAFINHA,playmi,Play&Learn,+18 meses,115A x 83C x 75L,13,
3092,FOFILHOTES HIPOPÓTAMO,playmi,Play&Learn,+18 meses,115A x 83C x 75L,13,
3093,FOFILHOTES LEÃOZINHO,playmi,Play&Learn,+18 meses,115A x 83C x 75L,14,
3094,FOFILHOTES TIGRE,playmi,Play&Learn,+18 meses,115A x 83C x 75L,14,
3095,FOFILHOTES HIPOPÓTAMO ROSA,playmi,Play&Learn,+18 meses,115A x 83C x 75L,14,
7203,FOFUSH ENCANTADO UNICÓRNIO Ilumine com a lanterna de LED para desenhar na barriga do Fofush!,playmi,Play&Learn,+3 anos,340A x 220C x 200L,15,SIM
7225,FOFUSH ENCANTADO URSO,playmi,Play&Learn,+3 anos,270A x 220C x 200L,15,
7226,FOFUSH ENCANTADO ELEFANTE,playmi,Play&Learn,+3 anos,290A x 220C x 200L,15,
7204,FOFUSH FALANTE UNICÓRNIO Grava voz e repete de um jeito super divertido!,playmi,Play&Learn,+3 anos,300A x 150C x 218L,16,SIM
7227,FOFUSH FALANTE COELHO,playmi,Play&Learn,+3 anos,300A x 218C x 150L,16,
7228,FOFUSH FALANTE GATO,playmi,Play&Learn,+3 anos,300A x 218C x 150L,16,
7157,BI-BI-BLUM DIDÁTICO Carrinhos,playmi,Play&Learn,+18 meses,210A x 250C x 90L,17,
7195,DINO VRUM VRUM DIDÁTICO,playmi,Play&Learn,+18 meses,246A x 335C x 55L,18,
3029,DINO SABIDINHO PLUS,playmi,Play&Learn,+18 meses,235A x 350C x 210L,19,
3027,DINO BOMBEIRINHO,playmi,Play&Learn,+18 meses,235A x 350C x 210L,19,
3028,DINO ESCOLAR BRINQUEDO COM BRAILLE,playmi,Play&Learn,+18 meses,235A x 350C x 210L,20,
7112,CARRINHO EDUCATIVO AZUL,playmi,Play&Learn,+18 meses,180A x 245C x 175L,21,
7113,CARRINHO EDUCATIVO ROSA,playmi,Play&Learn,+18 meses,180A x 245C x 175L,21,
7105,POCOTÓ MUSICAL LARANJA,playmi,Play&Learn,+18 meses,260A x 300C x 105L,22,
7106,POCOTÓ MUSICAL ROSA,playmi,Play&Learn,+18 meses,260A x 300C x 105L,22,
7196,PIANO DIDÁTICO MUSICAL,playmi,Play&Learn,+12 meses,130A x 262C x 172L,23,
7160,XILOFONE DIDÁTICO,playmi,Play&Learn,+18 meses,120A x 240C x 160L,23,
7111,MESINHA DE ATIVIDADES MUSICAL,playmi,Play&Learn,+18 meses,245A x 420C x 320L,24,
7201,MESINHA MUSICAL CARROSSEL DOS BICHINHOS AZUL,playmi,Play&Learn,+12 meses,320A x 415C x 275L,25,
7202,MESINHA MUSICAL CARROSSEL DOS BICHINHOS ROSA,playmi,Play&Learn,+12 meses,320A x 415C x 275L,26,
7199,4 sons PIANO TOUCH MUSICAL AZUL diferentes!,playmi,Play&Learn,+12 meses,150A x 140C x 160L,27,
7200,PIANO TOUCH MUSICAL ROSA,playmi,Play&Learn,+12 meses,150A x 140C x 160L,27,
7197,BATERIA TOUCH MUSICAL AZUL 2 em 1,playmi,Play&Learn,+12 meses,165A x 387C x 45L,28,
7198,BATERIA TOUCH MUSICAL ROSA,playmi,Play&Learn,+12 meses,165A x 387C x 45L,28,
7159,BATERIA SHOW MUSICAL AZUL,playmi,Play&Learn,+18 meses,180A x 300C x 150L,29,
7194,BATERIA SHOW MUSICAL ROSA,playmi,Play&Learn,+18 meses,180A x 300C x 150L,29,
7107,POLVO MUSICAL AZUL,playmi,Play&Learn,+18 meses,155A x 270C x 235L,30,
7108,POLVO MUSICAL ROSA,playmi,Play&Learn,+18 meses,155A x 270C x 235L,30,
7109,SAPO MUSICAL Veja como a brincadeira acontece!,playmi,Play&Learn,+18 meses,135A x 335C x 190L,30,
7149,SOFTCAR MUSICAL,playmi,Play&Learn,+18 meses,130A x 120C x 110L,31,
7152,SOFT TRUCK REBOQUE MUSICAL,playmi,Play&Learn,+18 meses,130A x 120C x 110L,31,
7150,SOFT TRUCK BETONEIRA MUSICAL,playmi,Play&Learn,+18 meses,130A x 120C x 110L,32,
7151,SOFT TRUCK CAÇAMBA MUSICAL,playmi,Play&Learn,+18 meses,130A x 120C x 110L,32,
7117,PICK-UP SUPER FAST Toque para andar!,playmi,Play&Learn,+18 meses,85A x 155C x 100L,33,
7118,CARRINHO SUPER FAST,playmi,Play&Learn,+18 meses,85A x 155C x 100L,33,
